(BH_Max),Anisotropy Constant K1,Anisotropy Constant K2,Anisotropy_Energy,Anisotropy_Field,Coercivity,Crystal_Structure,Curie(TC),Curie_Weiss,DOI,Experimental,Intrinsic Coercivity,Lattice_Parameter,Lattice_Structure,Magnet_type,Magnetic_type,Material_Density,Material_Name,Material_Type,Neel(TN),Remanence_Magnetization,Saturation_Magnetization,Space_Group,Substrate,Thickness
"{'Value': '37.8', 'Units': 'MGOe', 'Temperature': ''}",,,,,"{'Value': '7.6', 'Units': 'kOe', 'Temperature': ''}",2:14:1 phase,,,10.1016/j.jmmm.2017.10.048,true,,"{'a': '0.8805', 'b': '0.8805', 'c': '1.2202'}",,Hard,Ferromagnetic,,Magnet A,Bulk,,"{'Value': '13.1', 'Units': 'kGs', 'Temperature': ''}",,,,
"{'Value': '34.5', 'Units': 'MGOe', 'Temperature': ''}",,,,,"{'Value': '5.8', 'Units': 'kOe', 'Temperature': ''}",2:14:1 phase,,,10.1016/j.jmmm.2017.10.048,true,,"{'a': '0.8803', 'b': '0.8803', 'c': '1.2202'}",,Hard,Ferromagnetic,,Magnet B,Bulk,,"{'Value': '13.4', 'Units': 'kGs', 'Temperature': ''}",,,,
,,,,,"{'Value': '799.12', 'Units': 'KA/m', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.jmmm.2017.10.051,true,,"{'a': 'NA', 'b': 'NA', 'c': '21.037'}",Magnetoplumbite,Hard,Ferromagnetic,,Sr0.3La0.48Ca0.25n[Fe(2−0.4/n)O3]Co0.4,Bulk,,,"{'Value': '54.89', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",p63/mmc,,
,,,,,"{'Value': '766.01', 'Units': 'KA/m', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.jmmm.2017.10.051,true,,"{'a': 'NA', 'b': 'NA', 'c': '21.201'}",Magnetoplumbite,Hard,Ferromagnetic,,Sr0.3La0.48Ca0.25n[Fe(2−0.4/n)O3]Co0.4,Bulk,,,"{'Value': '47.95', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",p63/mmc,,
,,,,,"{'Value': '770.75', 'Units': 'KA/m', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.jmmm.2017.10.051,true,,"{'a': 'NA', 'b': 'NA', 'c': '21.185'}",Magnetoplumbite,Hard,Ferromagnetic,,Sr0.3La0.48Ca0.25n[Fe(2−0.4/n)O3]Co0.4,Bulk,,,"{'Value': '48.44', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",p63/mmc,,
,,,,,"{'Value': '779.75', 'Units': 'KA/m', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.jmmm.2017.10.051,true,,"{'a': 'NA', 'b': 'NA', 'c': '21.185'}",Magnetoplumbite,Hard,Ferromagnetic,,Sr0.3La0.48Ca0.25n[Fe(2−0.4/n)O3]Co0.4,Bulk,,,"{'Value': '49.50', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",p63/mmc,,
,,,,,"{'Value': '789.92', 'Units': 'KA/m', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.jmmm.2017.10.051,true,,"{'a': 'NA', 'b': 'NA', 'c': '21.203'}",Magnetoplumbite,Hard,Ferromagnetic,,Sr0.3La0.48Ca0.25n[Fe(2−0.4/n)O3]Co0.4,Bulk,,,"{'Value': '50.68', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",p63/mmc,,
,,,,,"{'Value': '805.21', 'Units': 'KA/m', 'Temperature': 'Room Temperature'}",Hexagonal,,,10.1016/j.jmmm.2017.10.051,true,,"{'a': 'NA', 'b': 'NA', 'c': '21.203'}",Magnetoplumbite,Hard,Ferromagnetic,,Sr0.3La0.48Ca0.25n[Fe(2−0.4/n)O3]Co0.4,Bulk,,,"{'Value': '53.12', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",p63/mmc,,
"{'Value': '39.13', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '12.01', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.10.066,true,,,,Hard,Ferromagnetic,,CeNd-Fe-B,Bulk,,"{'Value': '12.68', 'Units': 'kGs', 'Temperature': 'NA'}",,,,
,,,,"{'Value': '30', 'Units': 'kOe', 'Type': 'NA', 'Temperature': '300 K'}",,,445 K,,10.1016/j.jmmm.2017.10.066,false,,,,Hard,Ferromagnetic,,Ce2Fe14B,Bulk,,,"{'Value': '11.7', 'Units': 'kGs', 'Temperature': '300 K'}",,,
,,,,,,,630 K,,10.1016/j.jmmm.2017.10.066,false,,,,Hard,Ferromagnetic,,Nd2Fe14B,Bulk,,,,,,
,"{'Value': '4.3', 'Units': '10^6 erg/cm^3', 'Type': 'Fe2B', 'Temperature': 'NA'}","{'Value': '8', 'Units': '10^4 erg/cm^3', 'Type': 'Fe80Si20', 'Temperature': 'NA'}",,,"{'Value': '289', 'Units': 'Oe', 'Temperature': 'Room Temperature'}",,,,10.1016/j.jmmm.2017.10.113,true,,,,Soft,Ferromagnetic,,Fe-Cu-Nb-Si-B,Bulk,,,"{'Value': '140', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",,,
,,,,"{'Value': '1240', 'Units': 'kA/m', 'Type': '', 'Temperature': ''}","{'Value': '349', 'Units': 'kA/m', 'Temperature': ''}",Hexagonal,,,10.1016/j.jmmm.2017.10.121,true,,"{'a': '', 'b': '', 'c': ''}",,Hard,Ferromagnetic,4.93 g/cm^3,BaM-1,Bulk,,,"{'Value': '47.7', 'Units': 'A m^2/kg', 'Temperature': ''}",,,
,,,,"{'Value': '1320', 'Units': 'kA/m', 'Type': '', 'Temperature': ''}","{'Value': '220', 'Units': 'kA/m', 'Temperature': ''}",Hexagonal,,,10.1016/j.jmmm.2017.10.121,true,,"{'a': '', 'b': '', 'c': ''}",,Hard,Ferromagnetic,3.90 g/cm^3,BaM-2,Bulk,,,"{'Value': '54.9', 'Units': 'A m^2/kg', 'Temperature': ''}",,,
,,,,"{'Value': '1460', 'Units': 'kA/m', 'Type': '', 'Temperature': ''}","{'Value': '316', 'Units': 'kA/m', 'Temperature': ''}",Hexagonal,,,10.1016/j.jmmm.2017.10.121,true,,"{'a': '', 'b': '', 'c': ''}",,Hard,Ferromagnetic,3.91 g/cm^3,BaM-3,Bulk,,,"{'Value': '45.5', 'Units': 'A m^2/kg', 'Temperature': ''}",,,
,,,,"{'Value': '1430', 'Units': 'kA/m', 'Type': '', 'Temperature': ''}","{'Value': '215', 'Units': 'kA/m', 'Temperature': ''}",Hexagonal,,,10.1016/j.jmmm.2017.10.121,true,,"{'a': '', 'b': '', 'c': ''}",,Hard,Ferromagnetic,3.77 g/cm^3,BaM-4,Bulk,,,"{'Value': '41.9', 'Units': 'A m^2/kg', 'Temperature': ''}",,,
,,,,,"{'Value': '22.865', 'Units': 'kA/m', 'Temperature': 'NA'}",Tetragonal,,,10.1016/j.jmmm.2017.11.009,true,,,,Hard,Ferromagnetic,,Co-NdFeB,Bulk,,"{'Value': '80.666E6', 'Units': 'A/m', 'Temperature': 'NA'}","{'Value': '14.127E3', 'Units': 'A/m', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '40.301', 'Units': 'kA/m', 'Temperature': 'NA'}",Tetragonal,,,10.1016/j.jmmm.2017.11.009,true,,,,Hard,Ferromagnetic,,Co-NdFeB,Bulk,,"{'Value': '135.002E6', 'Units': 'A/m', 'Temperature': 'NA'}","{'Value': '8.2863E3', 'Units': 'A/m', 'Temperature': 'NA'}",,,
"{'Value': '4.45', 'Units': 'MGOe', 'Temperature': 'NA'}",,,,,"{'Value': '1.68', 'Units': 'kOe', 'Temperature': 'NA'}",bcc,,,10.1016/j.jmmm.2017.11.043,true,,"{'a': '2.890 Å', 'b': 'NA', 'c': '2.872 Å'}",Slightly tetragonal,Hard,Ferromagnetic,,Alnico-8 with Zr-B additives,Bulk,,"{'Value': '7.08', 'Units': 'kGs', 'Temperature': 'NA'}",,,,
,,,,,"{'Value': '12.7', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.11.044,true,,,,Hard,Ferromagnetic,,Nd-Fe-B,Bulk,,"{'Value': '8.9', 'Units': 'kG', 'Temperature': 'NA'}",,,,
,,,,,"{'Value': '20.0', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.11.044,true,,,,Hard,Ferromagnetic,,Nd-Fe-B with Pr-Cu-Al,Bulk,,"{'Value': '8.2', 'Units': 'kG', 'Temperature': 'NA'}",,,,
,,,,,"{'Value': '20.4', 'Units': 'kOe', 'Temperature': 'NA'}",,,,10.1016/j.jmmm.2017.11.044,true,,,,Hard,Ferromagnetic,,Nd-Fe-B with Pr-Cu-Al,Bulk,,"{'Value': '7.7', 'Units': 'kG', 'Temperature': 'NA'}",,,,
,,,,,"{'Value': '132', 'Units': 'Oe', 'Temperature': 'NA'}",,459 °C,,10.1016/j.jmmm.2017.11.085,true,,,,Hard,Ferromagnetic,4.471 g/cm^3,Barium Hexaferrite,Bulk,,,"{'Value': '65.2', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
"{'Value': '282.2', 'Units': 'kJ/m^3', 'Temperature': 'NA'}",,,,"{'Value': '14', 'Units': 'T', 'Type': 'NA', 'Temperature': 'NA'}",,,476 °C,,10.1016/j.jmmm.2017.11.097,true,"{'Value': '850', 'Units': 'kA/m'}",,,Hard,Ferromagnetic,7.58 g/cm^3,SmFeN,Bulk,,"{'Value': '1.35', 'Units': 'T', 'Temperature': 'NA'}","{'Value': '1.54', 'Units': 'T', 'Temperature': 'NA'}",,,
"{'Value': '294', 'Units': 'kJ/m^3', 'Temperature': 'NA'}",,,,,,,,,10.1016/j.jmmm.2017.11.097,true,"{'Value': '1084', 'Units': 'kA/m'}",,,Hard,Ferromagnetic,7.62 g/cm^3,NdFeB,Bulk,,"{'Value': '1.33', 'Units': 'T', 'Temperature': 'NA'}",,,,
,"{'Value': '2.34e5', 'Units': 'Erg/g', 'Type': 'Intrinsic', 'Temperature': 'NA'}",,,"{'Value': '12614', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '1435', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jmmm.2017.11.100,true,,"{'a': '5.884', 'b': '5.884', 'c': '23.181'}",Magneto-plumbite,Hard,Ferromagnetic,,BaFe12O19,Bulk,,"{'Value': '16.72', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '37.10', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '2.66e5', 'Units': 'Erg/g', 'Type': 'Intrinsic', 'Temperature': 'NA'}",,,"{'Value': '11419', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '1652', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jmmm.2017.11.100,true,,"{'a': '5.8841', 'b': '5.8841', 'c': '23.1886'}",Magneto-plumbite,Hard,Ferromagnetic,,BaCr0.3Fe11.7O19,Bulk,,"{'Value': '23.40', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '46.59', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '2.27e5', 'Units': 'Erg/g', 'Type': 'Intrinsic', 'Temperature': 'NA'}",,,"{'Value': '11398', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '770', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jmmm.2017.11.100,true,,"{'a': '5.8848', 'b': '5.8848', 'c': '23.1938'}",Magneto-plumbite,Hard,Ferromagnetic,,BaCr0.6Fe11.4O19,Bulk,,"{'Value': '15.10', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '39.83', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '1.93e5', 'Units': 'Erg/g', 'Type': 'Intrinsic', 'Temperature': 'NA'}",,,"{'Value': '11063', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '961', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jmmm.2017.11.100,true,,"{'a': '5.8849', 'b': '5.8849', 'c': '23.1950'}",Magneto-plumbite,Hard,Ferromagnetic,,BaCr1.0Fe11.0O19,Bulk,,"{'Value': '16.20', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '34.89', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '3.3', 'Units': '10^6 erg/cm^3', 'Type': 'NA', 'Temperature': 'NA'}",,,"{'Value': '17', 'Units': 'kOe', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '280', 'Units': 'Oe', 'Temperature': 'NA'}",Magnetoplumbite,,,10.1016/j.jmmm.2017.11.120,true,,"{'a': '5.8828', 'b': 'NA', 'c': '23.1950'}",Hexagonal,Soft,Ferromagnetic,2.9 g/cm^3,BaCo1.3Ti1.3Fe9.4O19,Bulk,,"{'Value': '19', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '67', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,,,,,10.1016/j.jmmm.2017.11.120,true,,,,Soft,Ferromagnetic,3.3 g/cm^3,BaCo1.3Ti1.3Fe9.4O19 with 5 wt% CuO,Bulk,,,"{'Value': '62', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,,,,,10.1016/j.jmmm.2017.11.120,true,,,,Soft,Ferromagnetic,3.9 g/cm^3,BaCo1.3Ti1.3Fe9.4O19 with 2 wt% B2O3 + 3 wt% CuO,Bulk,,,"{'Value': '55', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,,,,,10.1016/j.jmmm.2017.11.120,true,,,,Soft,Ferromagnetic,4.1 g/cm^3,BaCo1.3Ti1.3Fe9.4O19 with 2.5 wt% B2O3 + 2.5 wt% CuO,Bulk,,,"{'Value': '58', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,,,,,10.1016/j.jmmm.2017.11.120,true,,,,Soft,Ferromagnetic,4.1 g/cm^3,BaCo1.3Ti1.3Fe9.4O19 with 3 wt% B2O3 + 2 wt% CuO,Bulk,,,"{'Value': '58', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,,,,,10.1016/j.jmmm.2017.11.120,true,,,,Soft,Ferromagnetic,4.5 g/cm^3,BaCo1.3Ti1.3Fe9.4O19 with 5 wt% B2O3,Bulk,,,"{'Value': '45', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
